name	text	tagged
		
Pse Tur PseEvents	DIA DO TRABALHO 2015Promoção Esse é Seu Dia Vem Com A Pse TurJERICOACOARA 2015R$330,00. A Vista ou em 4x (sem juros) ou 8x(com juros) e no maximo em ate 12x ComJuros nos Cartoes de credito Visa Master Hiperentre outrosRoteiro de Viagem: Dias 01,02 e 03 de. Maio2015( Sexta, Sábado e Domingo ) Local eHorário de Saída: Dia 01 de Maio às 19:00hs-Terminal Ant.Bezerra .19:30hs-Praça daCaucaia e 19:50hs Praça de Capuan ( Sexta )Retorno: Dia 03 de Maio de 2015( Domingo )Horário previsto para Chegada: 20:00h.Lugares a serem Visitados:Lagoa Azul e lagoado Paraíso, Pedra Furada e Jericoacoara.Dia 01/05/2015 - ( Sexta - Feira ) - Saída doTerm.Ant Bezerra seguindo para Pca deCaucaia onde fazeremos o Check-in EmCapuan e partiremos as 20:00hs para Jijoca.Concentração às 18:45h, No Term.Ant. Bezerrae na 19:15hs Praça da Caucaia e 19:30 Pça DoCapuan, saída as 20:00hs, com destino acidade de Jijoca. Após nossa chegada emJijoca, faremos o translado Jijoca/Jericoacoara em veículos com tração 4x4.Chegaremos em Jeri para realizarmos o Check- In na pousada por volta das 00:00h, horárioideal para aproveitar a Night em Jeri. Opções:Boates, Forró do Turista, Feirinha, PadariaSanto Antonio e etc.Dia 02/05/2015 - ( Sábado ) Após o café damanhã, i Caminhada Ecológica até a PedraFurada,( Pedra Furada: é o ícone deJericoacoara.) após iremos para a Lagoa Azul( lagoa de água doce cristalina cercada porvegetação nativa)e, retornaremos para oalmoço as 13:00h, apos o almoço todos estãodisponiveis para passear pela cidade e porvolta das 17:00h iremos apreciarmos o Pôr-do-Sol nas dunas de Jericoacoara,(oeste davila de pescadores, há uma grande duna,Noperíodo de lua cheia, o espetáculo fica aindamais bonito, com o sol de um lado e a luaprateada do outro) uma das belezas naturaisda terra, e apartir das 19:00h o jantar seraservido e a noite fica a criterio dos nossosclientes com varias Opções: Boates, Forró doTurista (Dona Amelia), Feirinha, Padaria SantoAntonio e etc.Dia 03/05/2015 - ( Domingo ) Após o café damanhã, fica acriterio do cliente (Roteiro Livre)ate 11:00h depois iremos almoçar e emseguida daremos cotinuidade ao roteirofazeremos Check -Out. as 13:00h Seguiremospara a Lagoa do Paraíso,( município Jijoca.São 15 km² de água doce e transparente,cercada por enormes dunas. ) em seguida,15:00h vamos fazer check-list para retornar-mos ao ponto de partida inicial .Muito Importante :FICA a Disposição durante o nosso passeio Kitde Primeiros Socorros e Farmácia. ÔnibusExecutivo Completo: Com Ar Condicionado, CD,DVD, 3 TV´S , Microfone, Geladeira e WC.Hospedagem com Apartamentos Duplos, Triplose Quádruplos. Todos com Ar Condicionado,TV,Frigobar,Chuveiro Eletrico WC. Pse Garante:Transporte-Hospedagem-Seguro de Viagem-Café da Manhã de Sábado e Domingo-Almoçode Sabado e Domingo-Jantar de Sabado-Translado Jijoca Jericoacoara-CaminhadaEcológica para a Pedra Furada-Passeio aLagoa azul e lagoa do Paraíso-TransladoLagoa do Paraíso Jijoca-e Todo Serviço deBordo Gratuito mais Roteiro acima citado comtotal conforto e segurança. OBSERVAÇÃO :Nosso pacote não Inclui: Extras de caráterpessoal e tudo que não consta em nossoroteiro.TERMO DE COMPROMISSOEm caso de desistencia o CLIENTE fica cienteque o saldo POSITIVO fica para cubrir custosinvestidos pela Pse Tur CRIANÇA ACIMA DESEIS ANOS DE IDADE PAGARA TAIXA DETRANSLADO DO PONTO DE PARTIDA/JIJOCA-DE JERICOACOARA NO VALOR DE R$ 20,00.Diretamente no Embarque.End. R. Boa Esperança N°428 - Capuan-CAUCAIAContato : Contatos e Reservas: Overtan Oliveira(85) 9629-75-16 Bruna Fonseca (85)8606-72-30 E-Mail pse@psetur.comCnpj: 13.700.051/0001-78opção 01 : Sinal de R$ 82,50 Para Garantir oAgendamento Restando R$ 247,50 PodendoParcelar o restante Em 4x sem juros.opção 2 :Sinal de R$ 90,00 Para Garantir oAgendamento Restando R$ 270,00 PodendoParcelar o restante em ate 8x Com Juros.opção 3 :Sinal de R$ 105,00 Para Garantir oAgendamento Restando R$ 315,00 PodendoParcelar o restante em ate 12x Com Juros.* opção 4. A combinarQuem Gostou so Curte e Quem Quer Deseja IrCurte e Compartilha www.facebook.com/pseturPseTur Prosevice EventsGente Vem com a PseTur vem ser Feliz eAproveitar a Vida em Harmonia Com aNatureza Pois Nossa Satisfação...	
Danilo Rosa Azevedo	Carminha Resende	Carminha Resende
Elisabeth Schmitt	Tom AQ ??	Tom AQ
Emanoelly Maria	Mariana Serro	Mariana Serro
Ketty Trevisan	Bruno Brito	Bruno Brito
Marcos Martins	Olha Amor Laryssa Sylva! Ai nossa Lua de mel! :D	Laryssa Sylva
Débora Araújo	ei Ju Lima e Markhos Cassiano da Costa e eu pensando que isso fosse na Grecia! kkkkk próximas férias de Março promete!	Ju Lima
		Markhos Cassiano da Costa
Sarah Da Silva Costa	Eita eu vo ai nem q eu precise ir escondinda !!	
