sentiment	id	text
positivo	665729320200951	Pri Santos Karine Gomes Debora Patrocinio Jhuru Casusa não vejo a hora rsrs
positivo	10204981598969919	Está chegando amor, contando os minutos !! Luiz Fernando Araújo
positivo	10204350986289255	Ja  comecei contar os dias Patricia Botan
neutro	4773783358154	Alguém aqui que ja foi, por favor pode me dizer se o valor da entrada no parque lá é o mesmo que no site?
neutro	290719484470311	Pamela Menosso e Jessica Hack olhem isso
positivo	954224187937781	Essa praia e perfeita Marina Magro Fogarin Belone ! Água morna , pouca gente , vento , clima agradável e de sáb e domingo uma banda ao vivo !!!!!!!!!!
positivo	4297457010613	Ainda melhor com os amigos.. Né Franciele Scherer Burke Huber Patricia Medina Thiemes Ceribola Rodrigo Luis Ceribola Ceribola Claúdia Pedroso Rodrigo Pereira Martins e Ana #semface
neutro	300591313466202	DESCUBRIR ESSE BUG DE CURTIDAS GANHEI 1000 CURTIDAS NA MINHA FOTO         https://www.facebook.com/1516314928616104
positivo	719277341467077	Lugar perfeito, ow saudades!!!
positivo	655479661216932	Lindo beach park...
neutro	349983618508173	ei pessoal ajuda ....é pra compartilhar e curtir, é uma gincana  do colégio da minha namorada!!!!! Likes!Likes!Likes!Likes!Likes!Likes!Likes!Likes!Likes!Likes!Likes!  Ajude-nos a cumprir e ganhar na primeira tarefa da SEAC 2014! Por favor, curta e compartilhe a foto deste link e, se puder, divulgue para seus amigos! Obrigado desde Já!                                                     Equipe 1º ano https://www.facebook.com/123905507709993/photos/a.350943688339506.1073741827.123905507709993/563355680431638/?type=1&theater
positivo	805639632831769	Nao vejo a hora meu amor Thamires Haenohoen
negativo	10202336381791264	Muiiito caro mesmo. Com ingressos, almoço no kilo, refrigerante e 3 latinhas de cerveja eu e mais 3 amigas gastamos 1.100,00 ficamos 5 horas lá. Mas é tudo bonito, limpo, organizado, seguro.
positivo	733992869970731	A melhor praia do Brasil!!!! O melhor banho de mar!!!!
positivo	10203154775018349	Ja estive la maravilhoso amo ceara
positivo	1708592642699383	E  mesmo  um  paraiso!
positivo	564635497002187	Já fui huhuhu
positivo	1515550635368623	Eu também kkkkk
positivo	10203908173336083	Realmente é Tudo de Bom Pretendo voltar + uma vez!!
neutro	4773783358154	E pode Alex Xandre?
positivo	510600415708379	Chega logo Fevereiro...
positivo	893014897383688	Eu tb quero!
positivo	386588101494077	Tô com saudades de lá...
positivo	583788648419700	O maravilha
negativo	700540536704574	Estive em set la, realmente tudo mto caro!! Mas nao nego...tudo maravilhoso...a praia, o mar, a comida e o local c mta sombra e agua fresca!!
neutro	663725370393202	olha o padrão Karen Gabriel Pinheiro...
positivo	692721637491281	É muito bom mesmo
positivo	788113024585212	Naldo Marques qro esse nas suas férias!  #fortaleza
positivo	654494101330442	isso sim e top, o saudades.
positivo	365922010232178	Lindo demais
positivo	698966220187746	Amo amo
positivo	363011540532907	Me convida
positivo	1507248706190338	Esse lugar é um sonho!!!!!??
positivo	1565541877010392	Muito bom
positivo	511140372322880	Lugar lindo
positivo	1541532366062513	Só saudades desse paraíso que é o CE
positivo	592447667548349	Muito bonito!  Vale a pena ir para ver a beleza!
positivo	719744148100971	Belissimo.
neutro	1551101778437443	Eu tambem !!!!!
positivo	1458250194399857	Lindo
positivo	333857900125294	Nada mal hein comadre to junto. Tens bom gosto!
positivo	1569636256591891	Linda a  obra do criador.
positivo	725082214249483	Amei!
positivo	541239176006380	Saudade desse lugar...
positivo	1482180288726863	Lindo!
positivo	744055102331196	Muito bom.
positivo	939777392703313	Lugar muito lindo e que delícia!
positivo	1535111013391740	Maravilhosa essa praia.
positivo	395898780567930	Amei esse lugar,é lindo D +
positivo	649382298512699	Lindo de viver
positivo	396918500461598	Deslumbrante!!!!!!
positivo	519798518149467	Amei esse lugar .saudades
positivo	1477344802553244	Surreal!!!
negativo	10202516082293565	Caríssimo!  Mas excelente!
positivo	281548632042226	Eu ja estive ai nossa e tudo de bom
positivo	1473621519590196	mto lindo
positivo	604770259627860	Moro em frente e lindo
positivo	981923558499999	Já passei dias maravilhosos neste lugar maravilhoso
positivo	364479837053698	Beleza lugar lindo
neutro	382592785224821	Vendo passaporte valido 7 dia por 220 reais
positivo	585788764877679	lindo.
positivo	672839899481977	Maravilha
neutro	722171767870405	http://www.youtube.com/watch?v=8tvoATwPq8s
positivo	763695207016756	ai meu Deus... queria estar ai
positivo	530667677038413	(y)
positivo	551461934981809	Ah eu ai!
positivo	1498311563757795	Que saldade já fui
positivo	651710054941931	lindo quero ere fim de ano la
positivo	565448606934671	Que saudade desse lugar
positivo	710623159015385	aff saudades do paraíso
positivo	851203141591758	muito bom esse lugar adorei
positivo	1513091828909091	E muito bom esse anor eu n vou ja esta trisde...
positivo	677324252374767	Vcs vão funcionar dia 27/10 na segunda depois da eleição?
positivo	832676063423250	Aqui é uma DELÍCIA.
positivo	10152740849176897	Quero voltar logoooooo! ??
neutro	838223436190679	Vamos votar no alkmin
positivo	775554519181236	Q saudade desse lugar....
ambiguo	703611529725843	Três dias só pegando esse vento. Odilon Cardoso
positivo	800446826666823	saudadesssssssssssss
positivo	792868200776822	Showwwww!!!!
positivo	10152531984223818	Damiana  Maria Helena Calheiros James Oliveira Lembra dessa vista? ??
neutro	717820758312077	Juliana Provinciato
positivo	10152680151269560	Oh saudade !!!! Bom de mais !!! Uma das melhores epocas da minha vida !!!!beijos
neutro	10201758876173472	Samuel Jose Lima Borgaço
positivo	1483470558605071	E vamos lá se Deus quiser!!!!!
positivo	912408675440461	Conheço demais esse cenário,hein!!!!
positivo	830064220391184	Tudo de bom!
positivo	10204831501497187	Opa novembrao estou chegando por ai!!!!
positivo	346907158819289	Que maravilha!
neutro	10205136572236833	É verdade
neutro	871522072860625	Com certeza!
positivo	869035583121451	Preciso urgenteeeee
positivo	352282094934048	Ja estive ai com meus filhos quando pequenos e um lugar maravilhoso
positivo	877589028918868	100 anos de vida pra quem já curtiu o beach Park!!
positivo	748603825211306	Saudade!  Filipe Oliveira Gonçalves vamos?
positivo	4391619405216	Novembro .... Me aguardem !!!! Whoooo
neutro	730307247004797	Edvaldo Ferreira Elizabete Cavalcante
neutro	818743251480626	opa, to nessa
positivo	558120584289491	Acho q também to nessa. Kkkk
neutro	557398217716158	Jadson Braga
positivo	523329647768555	Amo tudo isso, é muito massa, me respondam, quanto custa pra ir eu meu esposo e meu filho de 10 anos, com a hospedagem de dois dias em,?
neutro	697003077020310	https://www.youtube.com/watch?v=Rm3ezxnssIU
positivo	10204397713373673	"Só de boa!  ;)"
positivo	446613928809665	Muito bom, recomendo!!!
positivo	738021239568802	Quanto ingressos
positivo	587072324730793	Caroline Laura Bárbara Gabriela saudadeeeeeeee :'(
neutro	716749535069870	Milena Barrachi Patricia Gouveia Appollonio Renato Mandacari
positivo	705970532826213	Naty Hikari e Silvana Vieira haha saudades eternas desse lugar !
neutro	871900619500221	Luiz Henrique Molleri  Clinton Cliver Cipriano  vendo essa video lembro das 3 crianças grandes fazendo pega e dando caldo um no outro.. eauhaeuhaehuaehuaehuaeuheauh...
